Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Dist,BldgCode,Address,Zip,City,Type,Address,Lat,Lon
M.S. 302 Luisa Dessus Cruz,Dist: 8<br>BldgCode: X052<br>Address: 681 KELLY STREET<br>Zip: 10455<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X052,681 KELLY STREET,10455,Bronx,Feeding Site,"681 KELLY STREET Bronx, NY 10455",40.8159118,-73.9016736
P.S. 062 Inocensio Casanova,Dist: 8<br>BldgCode: X062<br>Address: 660 FOX STREET<br>Zip: 10455<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X062,660 FOX STREET,10455,Bronx,Feeding Site,"660 FOX STREET Bronx, NY 10455",40.8138781,-73.9003875
P.S. 071 Rose E. Scala,Dist: 8<br>BldgCode: X071<br>Address: 3040 ROBERTS AVENUE<br>Zip: 10461<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X071,3040 ROBERTS AVENUE,10461,Bronx,Feeding Site,"3040 ROBERTS AVENUE Bronx, NY 10461",40.8455954,-73.8296383
P.S. 072 Dr. William Dorney,Dist: 8<br>BldgCode: X072<br>Address: 2951 DEWEY AVENUE<br>Zip: 10465<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X072,2951 DEWEY AVENUE,10465,Bronx,Feeding Site,"2951 DEWEY AVENUE Bronx, NY 10465",40.8230948,-73.8183344
P.S. 093 Albert G. Oliver,Dist: 8<br>BldgCode: X093<br>Address: 1535 STORY AVENUE<br>Zip: 10473<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X093,1535 STORY AVENUE,10473,Bronx,Feeding Site,"1535 STORY AVENUE Bronx, NY 10473",40.822513,-73.877255
P.S. 100 Isaac Clason,Dist: 8<br>BldgCode: X100<br>Address: 800 TAYLOR AVENUE<br>Zip: 10473<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X100,800 TAYLOR AVENUE,10473,Bronx,Feeding Site,"800 TAYLOR AVENUE Bronx, NY 10473",40.8218917,-73.8626271
P.S. 107,Dist: 8<br>BldgCode: X107<br>Address: 1695 SEWARD AVENUE<br>Zip: 10473<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X107,1695 SEWARD AVENUE,10473,Bronx,Feeding Site,"1695 SEWARD AVENUE Bronx, NY 10473",40.8187805,-73.8684748
P.S. 119,Dist: 8<br>BldgCode: X119<br>Address: 1075 PUGSLEY AVENUE<br>Zip: 10472<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X119,1075 PUGSLEY AVENUE,10472,Bronx,Feeding Site,"1075 PUGSLEY AVENUE Bronx, NY 10472",40.8285665,-73.8568685
M.S. 301 Paul L. Dunbar,Dist: 8<br>BldgCode: X120<br>Address: 890 CAULDWELL AVENUE<br>Zip: 10456<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X120,890 CAULDWELL AVENUE,10456,Bronx,Feeding Site,"890 CAULDWELL AVENUE Bronx, NY 10456",40.8225181,-73.9067316
J.H.S. 123 James M. Kieran,Dist: 8<br>BldgCode: X123<br>Address: 1025 MORRISON AVENUE<br>Zip: 10472<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X123,1025 MORRISON AVENUE,10472,Bronx,Feeding Site,"1025 MORRISON AVENUE Bronx, NY 10472",40.8249888,-73.8739048
J.H.S. 131 Albert Einstein,Dist: 8<br>BldgCode: X131<br>Address: 885 BOLTON AVENUE<br>Zip: 10473<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X131,885 BOLTON AVENUE,10473,Bronx,Feeding Site,"885 BOLTON AVENUE Bronx, NY 10473",40.8232367,-73.8598551
The Longwood Academy of Discovery,Dist: 8<br>BldgCode: X060<br>Address: 888 REV J A POLITE AVE<br>Zip: 10459<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X060,888 REV J A POLITE AVE,10459,Bronx,Feeding Site,"888 REV J A POLITE AVE Bronx, NY 10459",40.8201293,-73.8986342
P.S. X140 The Eagle School,Dist: 8<br>BldgCode: X140<br>Address: 916 EAGLE AVENUE<br>Zip: 10456<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X140,916 EAGLE AVENUE,10456,Bronx,Feeding Site,"916 EAGLE AVENUE Bronx, NY 10456",40.8234226,-73.9076299
Bronx Studio School for Writers and Artists,Dist: 8<br>BldgCode: X392<br>Address: 928 SIMPSON STREET<br>Zip: 10459<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X392,928 SIMPSON STREET,10459,Bronx,Feeding Site,"928 SIMPSON STREET Bronx, NY 10459",40.8203827,-73.8930381
Bronx Arena High School,Dist: 8<br>BldgCode: X972<br>Address: 1440 STORY AVENUE<br>Zip: 10473<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X972,1440 STORY AVENUE,10473,Bronx,Feeding Site,"1440 STORY AVENUE Bronx, NY 10473",40.8210968,-73.8811268
P.S. 011 Highbridge,Dist: 9<br>BldgCode: X011<br>Address: 1257 OGDEN AVENUE<br>Zip: 10452<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X011,1257 OGDEN AVENUE,10452,Bronx,Feeding Site,"1257 OGDEN AVENUE Bronx, NY 10452",40.8397377,-73.9257866
P.S. 028 Mount Hope,Dist: 9<br>BldgCode: X028<br>Address: 1861 ANTHONY AVENUE<br>Zip: 10457<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X028,1861 ANTHONY AVENUE,10457,Bronx,Feeding Site,"1861 ANTHONY AVENUE Bronx, NY 10457",40.8483324,-73.9036117
P.S. 035 Franz Siegel,Dist: 9<br>BldgCode: X035<br>Address: 261 EAST 163 STREET<br>Zip: 10451<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X035,261 EAST 163 STREET,10451,Bronx,Feeding Site,"261 EAST 163 STREET Bronx, NY 10451",40.8275587,-73.917933
P.S. 042 Claremont,Dist: 9<br>BldgCode: X042<br>Address: 1537 WASHINGTON AVENUE<br>Zip: 10457<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X042,1537 WASHINGTON AVENUE,10457,Bronx,Feeding Site,"1537 WASHINGTON AVENUE Bronx, NY 10457",40.8385594,-73.9030255
P.S. 053 Basheer Quisim,Dist: 9<br>BldgCode: X053<br>Address: 360 EAST 168 STREET<br>Zip: 10456<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X053,360 EAST 168 STREET,10456,Bronx,Feeding Site,"360 EAST 168 STREET Bronx, NY 10456",40.8327824,-73.9118703
P.S. 058,Dist: 9<br>BldgCode: X058<br>Address: 459 EAST 176 STREET<br>Zip: 10457<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X058,459 EAST 176 STREET,10457,Bronx,Feeding Site,"459 EAST 176 STREET Bronx, NY 10457",40.8461805,-73.8988335
P.S. 063 Author's Academy,Dist: 9<br>BldgCode: X063<br>Address: 1260 FRANKLIN AVENUE<br>Zip: 10456<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X063,1260 FRANKLIN AVENUE,10456,Bronx,Feeding Site,"1260 FRANKLIN AVENUE Bronx, NY 10456",40.8308954,-73.9023857
P.S. 070 Max Schoenfeld,Dist: 9<br>BldgCode: X070<br>Address: 1691 WEEKS AVENUE<br>Zip: 10457<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X070,1691 WEEKS AVENUE,10457,Bronx,Feeding Site,"1691 WEEKS AVENUE Bronx, NY 10457",40.844366,-73.9078731
P.S. X088 - S. Silverstein Little Sparrow School,Dist: 9<br>BldgCode: X088<br>Address: 1340 SHERIDAN AVENUE<br>Zip: 10456<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X088,1340 SHERIDAN AVENUE,10456,Bronx,Feeding Site,"1340 SHERIDAN AVENUE Bronx, NY 10456",40.8370256,-73.9135238
P.S. 109 Sedgwick,Dist: 9<br>BldgCode: X109<br>Address: 1771 POPHAM AVENUE<br>Zip: 10453<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X109,1771 POPHAM AVENUE,10453,Bronx,Feeding Site,"1771 POPHAM AVENUE Bronx, NY 10453",40.8517883,-73.9186207
P.S. 110 Theodore Schoenfeld,Dist: 9<br>BldgCode: X110<br>Address: 580 CROTONA PARK SOUTH<br>Zip: 10456<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X110,580 CROTONA PARK SOUTH,10456,Bronx,Feeding Site,"580 CROTONA PARK SOUTH Bronx, NY 10456",40.8350416,-73.9004334
P.S. X114 - Luis Llorens Torres Scho,Dist: 9<br>BldgCode: X114<br>Address: 1155 CROMWELL AVENUE<br>Zip: 10452<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X114,1155 CROMWELL AVENUE,10452,Bronx,Feeding Site,"1155 CROMWELL AVENUE Bronx, NY 10452",40.8349464,-73.9232607
P.S. 126 Dr Marjorie H Dunbar,Dist: 9<br>BldgCode: X126<br>Address: 175 WEST 166 STREET<br>Zip: 10452<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X126,175 WEST 166 STREET,10452,Bronx,Feeding Site,"175 WEST 166 STREET Bronx, NY 10452",40.8360666,-73.9283851
GRANT AVENUE ELEMENTARY SCHOOL,Dist: 9<br>BldgCode: X166<br>Address: 250 EAST 164 STREET<br>Zip: 10456<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X166,250 EAST 164 STREET,10456,Bronx,Feeding Site,"250 EAST 164 STREET Bronx, NY 10456",40.8280778,-73.9175196
P.S. 163 Arthur A. Schomburg,Dist: 9<br>BldgCode: X163<br>Address: 2075 WEBSTER AVENUE<br>Zip: 10457<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X163,2075 WEBSTER AVENUE,10457,Bronx,Feeding Site,"2075 WEBSTER AVENUE Bronx, NY 10457",40.8518013,-73.8988258
P.S. 170,Dist: 9<br>BldgCode: X170<br>Address: 1598 TOWNSEND AVENUE<br>Zip: 10452<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X170,1598 TOWNSEND AVENUE,10452,Bronx,Feeding Site,"1598 TOWNSEND AVENUE Bronx, NY 10452",40.8445236,-73.9132748
P.S. 199X - The Shakespeare School,Dist: 9<br>BldgCode: X104<br>Address: 1449 SHAKESPEARE AVENUE<br>Zip: 10452<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X104,1449 SHAKESPEARE AVENUE,10452,Bronx,Feeding Site,"1449 SHAKESPEARE AVENUE Bronx, NY 10452",40.8436596,-73.9205968
Eximius College Preparatory Academy: A College Board School,Dist: 9<br>BldgCode: X002<br>Address: 1363 FULTON AVENUE<br>Zip: 10456<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X002,1363 FULTON AVENUE,10456,Bronx,Feeding Site,"1363 FULTON AVENUE Bronx, NY 10456",40.8339721,-73.9027472
The Walton Avenue School,Dist: 9<br>BldgCode: X064<br>Address: 1425 WALTON AVENUE<br>Zip: 10452<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X064,1425 WALTON AVENUE,10452,Bronx,Feeding Site,"1425 WALTON AVENUE Bronx, NY 10452",40.8403454,-73.9157284
New Millenium Business Acad. MS,Dist: 9<br>BldgCode: X145<br>Address: 1000 TELLER AVENUE<br>Zip: 10456<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X145,1000 TELLER AVENUE,10456,Bronx,Feeding Site,"1000 TELLER AVENUE Bronx, NY 10456",40.8279,-73.9141928
Bronx Leadership Academy High School,Dist: 9<br>BldgCode: X876<br>Address: 1710 WEBSTER AVENUE<br>Zip: 10457<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X876,1710 WEBSTER AVENUE,10457,Bronx,Feeding Site,"1710 WEBSTER AVENUE Bronx, NY 10457",40.8434287,-73.9031094
Eagle Academy for Young Men,Dist: 9<br>BldgCode: X465<br>Address: 4143 THIRD AVENUE<br>Zip: 10457<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X465,4143 THIRD AVENUE,10457,Bronx,Feeding Site,"4143 THIRD AVENUE Bronx, NY 10457",40.845289,-73.8972161
Mott Hall Bronx High School,Dist: 9<br>BldgCode: X970<br>Address: 1595 BATHGATE AVENUE<br>Zip: 10457<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X970,1595 BATHGATE AVENUE,10457,Bronx,Feeding Site,"1595 BATHGATE AVENUE Bronx, NY 10457",40.8394008,-73.9019661
I.S. 229 Roland Patterson,Dist: 9<br>BldgCode: X229<br>Address: 275 HARLEM RIVER PARK BRIDGE<br>Zip: 10453<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X229,275 HARLEM RIVER PARK BRIDGE,10453,Bronx,Feeding Site,"275 HARLEM RIVER PARK BRIDGE Bronx, NY 10453",40.8528519,-73.9210321
PS 053 Basheer Quisim Annex,Dist: 9<br>BldgCode: X851<br>Address: 360 EAST 168 STREET<br>Zip: 10456<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,9,X851,360 EAST 168 STREET,10456,Bronx,Feeding Site,"360 EAST 168 STREET Bronx, NY 10456",40.8327824,-73.9118703
P.S. 3 Raul Julia Micro Society,Dist: 10<br>BldgCode: X003<br>Address: 2100 LAFONTAINE AVENUE<br>Zip: 10457<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,10,X003,2100 LAFONTAINE AVENUE,10457,Bronx,Feeding Site,"2100 LAFONTAINE AVENUE Bronx, NY 10457",40.8502515,-73.8917519
P.S. 008 Issac Varian,Dist: 10<br>BldgCode: X008<br>Address: 3010 BRIGGS AVENUE<br>Zip: 10458<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,10,X008,3010 BRIGGS AVENUE,10458,Bronx,Feeding Site,"3010 BRIGGS AVENUE Bronx, NY 10458",40.8725473,-73.88336
P.S. / I.S. 54,Dist: 10<br>BldgCode: X054<br>Address: 2703 WEBSTER AVENUE<br>Zip: 10458<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,10,X054,2703 WEBSTER AVENUE,10458,Bronx,Feeding Site,"2703 WEBSTER AVENUE Bronx, NY 10458",40.8649138,-73.8878434
P.S. 086 Kingsbridge Heights,Dist: 10<br>BldgCode: X086<br>Address: 2756 RESERVOIR AVENUE<br>Zip: 10468<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,10,X086,2756 RESERVOIR AVENUE,10468,Bronx,Feeding Site,"2756 RESERVOIR AVENUE Bronx, NY 10468",40.8698472,-73.8982631
The Angelo Patri Middle School,Dist: 10<br>BldgCode: X137<br>Address: 2225 WEBSTER AVENUE<br>Zip: 10457<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,10,X137,2225 WEBSTER AVENUE,10457,Bronx,Feeding Site,"2225 WEBSTER AVENUE Bronx, NY 10457",40.8546548,-73.8970362
Riverdale / Kingsbridge Academy (Mid,Dist: 10<br>BldgCode: X141<br>Address: 660 WEST 237 STREET<br>Zip: 10463<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,10,X141,660 WEST 237 STREET,10463,Bronx,Feeding Site,"660 WEST 237 STREET Bronx, NY 10463",40.8877008,-73.913605
Crotona International High School,Dist: 10<br>BldgCode: X660<br>Address: 2474 CROTONA AVENUE<br>Zip: 10458<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,10,X660,2474 CROTONA AVENUE,10458,Bronx,Feeding Site,"2474 CROTONA AVENUE Bronx, NY 10458",40.8554112,-73.8824863
P.S. 207,Dist: 10<br>BldgCode: X819<br>Address: 3030 GODWIN TERRACE<br>Zip: 10463<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,10,X819,3030 GODWIN TERRACE,10463,Bronx,Feeding Site,"3030 GODWIN TERRACE Bronx, NY 10463",40.8781939,-73.9063216
International School for Liberal Arts,Dist: 10<br>BldgCode: X430<br>Address: 2780 RESERVOIR AVENUE<br>Zip: 10468<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,10,X430,2780 RESERVOIR AVENUE,10468,Bronx,Feeding Site,"2780 RESERVOIR AVENUE Bronx, NY 10468",40.8704171,-73.8969711
P.S. 246 Poe Center,Dist: 10<br>BldgCode: X843<br>Address: 2641 GRAND CONCOURSE<br>Zip: 10468<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,10,X843,2641 GRAND CONCOURSE,10468,Bronx,Feeding Site,"2641 GRAND CONCOURSE Bronx, NY 10468",40.8662088,-73.8953232
P.S. 021 Philip H. Sheridan,Dist: 11<br>BldgCode: X021<br>Address: 715 EAST 225 STREET<br>Zip: 10466<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X021,715 EAST 225 STREET,10466,Bronx,Feeding Site,"715 EAST 225 STREET Bronx, NY 10466",40.887871,-73.8594571
P.S. 041 Gun Hill Road,Dist: 11<br>BldgCode: X041<br>Address: 3352 OLINVILLE AVENUE<br>Zip: 10467<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X041,3352 OLINVILLE AVENUE,10467,Bronx,Feeding Site,"3352 OLINVILLE AVENUE Bronx, NY 10467",40.8746073,-73.8679103
P.S. 076 The Bennington School,Dist: 11<br>BldgCode: X076<br>Address: 900 ADEE AVENUE<br>Zip: 10469<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X076,900 ADEE AVENUE,10469,Bronx,Feeding Site,"900 ADEE AVENUE Bronx, NY 10469",40.8691678,-73.861111
P.S. 078 Anne Hutchinson,Dist: 11<br>BldgCode: X078<br>Address: 1400 NEEDHAM AVENUE<br>Zip: 10469<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X078,1400 NEEDHAM AVENUE,10469,Bronx,Feeding Site,"1400 NEEDHAM AVENUE Bronx, NY 10469",40.8784734,-73.8508198
P.S. 089 Bronx,Dist: 11<br>BldgCode: X089<br>Address: 980 MACE AVENUE<br>Zip: 10469<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X089,980 MACE AVENUE,10469,Bronx,Feeding Site,"980 MACE AVENUE Bronx, NY 10469",40.8626481,-73.8594112
P.S. 097 Bronx,Dist: 11<br>BldgCode: X097<br>Address: 1375 MACE AVENUE<br>Zip: 10469<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X097,1375 MACE AVENUE,10469,Bronx,Feeding Site,"1375 MACE AVENUE Bronx, NY 10469",40.8630715,-73.8469469
P.S. 103 Hector Fontanez,Dist: 11<br>BldgCode: X103<br>Address: 4125 CARPENTER AVENUE<br>Zip: 10466<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X103,4125 CARPENTER AVENUE,10466,Bronx,Feeding Site,"4125 CARPENTER AVENUE Bronx, NY 10466",40.8923187,-73.8618979
P.S. 105 Sen Abraham Bernstein,Dist: 11<br>BldgCode: X105<br>Address: 725 BRADY AVENUE<br>Zip: 10462<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X105,725 BRADY AVENUE,10462,Bronx,Feeding Site,"725 BRADY AVENUE Bronx, NY 10462",40.8527674,-73.8664014
P.S. 111 Seton Falls,Dist: 11<br>BldgCode: X111<br>Address: 3740 BAYCHESTER AVENUE<br>Zip: 10466<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X111,3740 BAYCHESTER AVENUE,10466,Bronx,Feeding Site,"3740 BAYCHESTER AVENUE Bronx, NY 10466",40.8843152,-73.8397468
P.S. 112 Bronxwood,Dist: 11<br>BldgCode: X112<br>Address: 1925 SCHIEFFELIN AVENUE<br>Zip: 10466<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X112,1925 SCHIEFFELIN AVENUE,10466,Bronx,Feeding Site,"1925 SCHIEFFELIN AVENUE Bronx, NY 10466",40.8847649,-73.8439899
J.H.S. 144 Michelangelo,Dist: 11<br>BldgCode: X144<br>Address: 2545 GUNTHER AVENUE<br>Zip: 10469<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X144,2545 GUNTHER AVENUE,10469,Bronx,Feeding Site,"2545 GUNTHER AVENUE Bronx, NY 10469",40.864189,-73.8365765
P.S. 160 Walt Disney,Dist: 11<br>BldgCode: X160<br>Address: 4140 HUTCHINSON RIVER PKWAY EA<br>Zip: 10475<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X160,4140 HUTCHINSON RIVER PKWAY EA,10475,Bronx,Feeding Site,"4140 HUTCHINSON RIVER PKWAY EA Bronx, NY 10475",40.8643078,-73.8239864
P.S. 178 - Dr. Selman Waksman,Dist: 11<br>BldgCode: X178<br>Address: 850 BAYCHESTER AVENUE<br>Zip: 10475<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X178,850 BAYCHESTER AVENUE,10475,Bronx,Feeding Site,"850 BAYCHESTER AVENUE Bronx, NY 10475",40.8751476,-73.8329925
M.S. 180 Dr. Daniel Hale Williams,Dist: 11<br>BldgCode: X180<br>Address: 700 BAYCHESTER AVENUE<br>Zip: 10475<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X180,700 BAYCHESTER AVENUE,10475,Bronx,Feeding Site,"700 BAYCHESTER AVENUE Bronx, NY 10475",40.8732041,-73.8321785
PS/MS 194,Dist: 11<br>BldgCode: X194<br>Address: 2365 WATERBURY AVENUE<br>Zip: 10462<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X194,2365 WATERBURY AVENUE,10462,Bronx,Feeding Site,"2365 WATERBURY AVENUE Bronx, NY 10462",40.8351995,-73.8465928
Collegiate Institute for Math and Science,Dist: 11<br>BldgCode: X415<br>Address: 925 ASTOR AVENUE<br>Zip: 10469<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X415,925 ASTOR AVENUE,10469,Bronx,Feeding Site,"925 ASTOR AVENUE Bronx, NY 10469",40.8602833,-73.8603759
Bronx Alliance Middle School,Dist: 11<br>BldgCode: X142<br>Address: 3750 BAYCHESTER AVENUE<br>Zip: 10466<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X142,3750 BAYCHESTER AVENUE,10466,Bronx,Feeding Site,"3750 BAYCHESTER AVENUE Bronx, NY 10466",40.8843152,-73.8397468
Young Voices Academy Of The Bronx,Dist: 11<br>BldgCode: X292<br>Address: 800 LYDIG AVENUE<br>Zip: 10462<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X292,800 LYDIG AVENUE,10462,Bronx,Feeding Site,"800 LYDIG AVENUE Bronx, NY 10462",40.854327,-73.8636587
The Matilda Avenue School,Dist: 11<br>BldgCode: X314<br>Address: 4520 MATILDA AVENUE<br>Zip: 10470<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X314,4520 MATILDA AVENUE,10470,Bronx,Feeding Site,"4520 MATILDA AVENUE Bronx, NY 10470",40.9014559,-73.8540818
Bronx High School for the Visual Arts,Dist: 11<br>BldgCode: X839<br>Address: 2040 ANTIN PL<br>Zip: 10462<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X839,2040 ANTIN PL,10462,Bronx,Feeding Site,"2040 ANTIN PL Bronx, NY 10462",40.8517465,-73.8645056
Harry S Truman High School,Dist: 11<br>BldgCode: X455<br>Address: 750 BAYCHESTER AVENUE<br>Zip: 10475<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X455,750 BAYCHESTER AVENUE,10475,Bronx,Feeding Site,"750 BAYCHESTER AVENUE Bronx, NY 10475",40.8742194,-73.8330935
P.S. 083 Donald Hertz,Dist: 11<br>BldgCode: X981<br>Address: 1840 BOGART AVENUE<br>Zip: 10462<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,11,X981,1840 BOGART AVENUE,10462,Bronx,Feeding Site,"1840 BOGART AVENUE Bronx, NY 10462",40.8486206,-73.8585383
P.S. 047 John Randolph,Dist: 12<br>BldgCode: X047<br>Address: 1794 EAST 172 STREET<br>Zip: 10472<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,12,X047,1794 EAST 172 STREET,10472,Bronx,Feeding Site,"1794 EAST 172 STREET Bronx, NY 10472",40.8325729,-73.8669915
P.S. 057 Crescent,Dist: 12<br>BldgCode: X057<br>Address: 2111 CROTONA AVENUE<br>Zip: 10457<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,12,X057,2111 CROTONA AVENUE,10457,Bronx,Feeding Site,"2111 CROTONA AVENUE Bronx, NY 10457",40.848689,-73.8889039
J.H.S. 098 Herman Ridder,Dist: 12<br>BldgCode: X098<br>Address: 1619 BOSTON ROAD<br>Zip: 10460<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,12,X098,1619 BOSTON ROAD,10460,Bronx,Feeding Site,"1619 BOSTON ROAD Bronx, NY 10460",40.8363157,-73.8907414
M.S.129 Academy for Independent Lear,Dist: 12<br>BldgCode: X129<br>Address: 2055 MAPES AVENUE<br>Zip: 10460<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,12,X129,2055 MAPES AVENUE,10460,Bronx,Feeding Site,"2055 MAPES AVENUE Bronx, NY 10460",40.8458529,-73.8864943
P.S. 134 George F. Bristow,Dist: 12<br>BldgCode: X134<br>Address: 1330 BRISTOW STREET<br>Zip: 10459<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,12,X134,1330 BRISTOW STREET,10459,Bronx,Feeding Site,"1330 BRISTOW STREET Bronx, NY 10459",40.831595,-73.894227
P.S. 150 Charles James Fox,Dist: 12<br>BldgCode: X150<br>Address: 920 EAST 167 STREET<br>Zip: 10459<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,12,X150,920 EAST 167 STREET,10459,Bronx,Feeding Site,"920 EAST 167 STREET Bronx, NY 10459",40.8261982,-73.8942729
School for Excellence,Dist: 12<br>BldgCode: X400<br>Address: 1110 BOSTON ROAD<br>Zip: 10456<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,12,X400,1110 BOSTON ROAD,10456,Bronx,Feeding Site,"1110 BOSTON ROAD Bronx, NY 10456",40.8273033,-73.9045097
Fannie Lou Hamer Freedom High School,Dist: 12<br>BldgCode: X878<br>Address: 1021 JENNINGS STREET<br>Zip: 10460<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,12,X878,1021 JENNINGS STREET,10460,Bronx,Feeding Site,"1021 JENNINGS STREET Bronx, NY 10460",40.8310478,-73.885602
High School of World Cultures,Dist: 12<br>BldgCode: X420<br>Address: 1300 BOYNTON AVENUE<br>Zip: 10472<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,12,X420,1300 BOYNTON AVENUE,10472,Bronx,Feeding Site,"1300 BOYNTON AVENUE Bronx, NY 10472",40.8321027,-73.8784458
Bronx Regional High School,Dist: 12<br>BldgCode: X401<br>Address: 1010 REV. J. A. POLITE AVENUE<br>Zip: 10459<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,12,X401,1010 REV. J. A. POLITE AVENUE,10459,Bronx,Feeding Site,"1010 REV. J. A. POLITE AVENUE Bronx, NY 10459",40.82349,-73.8985308
P.S. 595,Dist: 12<br>BldgCode: X092<br>Address: 700 EAST 179 STREET<br>Zip: 10457<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,12,X092,700 EAST 179 STREET,10457,Bronx,Feeding Site,"700 EAST 179 STREET Bronx, NY 10457",40.8463129,-73.8895023
