Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Geographic__District,Building_Code,Address,Zip_Code,Borough,Type,Full Address,Lat,Lon
PS/IS 128,Geographic  District: 24<br>Building Code: Q247<br>Address: 69-10 65th Drive<br>Zip Code: 11379<br>Borough: Queens<br>Type: DYCD Program,,,,,,,-1,,,24,Q247,69-10 65th Drive,11379,Queens,DYCD Program,"69-10 65th Drive Queens, NY 11379",40.7149568,-73.8862522
P.S. 24 - QUEENS,Geographic  District: 25<br>Building Code: Q024<br>Address: 45-57 UNION STREET<br>Zip Code: 11355<br>Borough: Queens<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,25,Q024,45-57 UNION STREET,11355,Queens,Community School or DYCD with a pre-K or LYFE Center,"45-57 UNION STREET Queens, NY 11355",40.7519807,-73.8185305
District 25 Pre-K Center at 123-07 22nd Avenue,Geographic  District: 25<br>Building Code: Q454<br>Address: 123-07 22nd Avenue <br>Zip Code: 11356<br>Borough: Queens<br>Type: Standalone Pre-K Site,,,,,,,-1,,,25,Q454,123-07 22nd Avenue ,11356,Queens,Standalone Pre-K Site,"123-07 22nd Avenue  Queens, NY 11356",40.7803036,-73.8448592
P.S./I.S. 266 - QUEENS,Geographic  District: 26<br>Building Code: Q266<br>Address: 74-10 COMMONWEALTH BOULEVARD<br>Zip Code: 11426<br>Borough: Queens<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,26,Q266,74-10 COMMONWEALTH BOULEVARD,11426,Queens,Community School or DYCD with a pre-K or LYFE Center,"74-10 COMMONWEALTH BOULEVARD Queens, NY 11426",40.7455965,-73.7282367
Bayside Hills School of Excellence,Geographic  District: 26<br>Building Code: Q332<br>Address: 210-21 48 AVENUE<br>Zip Code: 11364<br>Borough: Queens<br>Type: Filling Geographic Gaps,,,,,,,-1,,,26,Q332,210-21 48 AVENUE,11364,Queens,Filling Geographic Gaps,"210-21 48 AVENUE Queens, NY 11364",40.755101,-73.770567
P.S. 42 - QUEENS,Geographic  District: 27<br>Building Code: Q042<br>Address: 488 BEACH  66 STREET<br>Zip Code: 11692<br>Borough: Queens<br>Type: Community School & DYCD,,,,,,,-1,,,27,Q042,488 BEACH  66 STREET,11692,Queens,Community School & DYCD,"488 BEACH  66 STREET Queens, NY 11692",40.594435,-73.7949455
Beach Channel Educational Campus,Geographic  District: 27<br>Building Code: Q410<br>Address: 100-00 BEACH CHANNEL DRIVE<br>Zip Code: 11694<br>Borough: Queens<br>Type: Community School & DYCD,,,,,,,-1,,,27,Q410,100-00 BEACH CHANNEL DRIVE,11694,Queens,Community School & DYCD,"100-00 BEACH CHANNEL DRIVE Queens, NY 11694",40.5866656,-73.8234351
District 27 Pre-K Center at 133-40 79 Street,Geographic  District: 27<br>Building Code: Q473<br>Address: 133-40 79 Street<br>Zip Code: 11414<br>Borough: Queens<br>Type: Standalone Pre-K Site,,,,,,,-1,,,27,Q473,133-40 79 Street,11414,Queens,Standalone Pre-K Site,"133-40 79 Street Queens, NY 11414",40.6717389,-73.8571502
J.H.S. 72 - QUEENS,Geographic  District: 28<br>Building Code: Q072<br>Address: 133-25 GUY R BREWER BOULEVARD<br>Zip Code: 11434<br>Borough: Queens<br>Type: Community School & DYCD,,,,,,,-1,,,28,Q072,133-25 GUY R BREWER BOULEVARD,11434,Queens,Community School & DYCD,"133-25 GUY R BREWER BOULEVARD Queens, NY 11434",40.6749335,-73.7757841
P.S./ I.S. 314 - Queens,Geographic  District: 28<br>Building Code: Q314<br>Address: 88-08 164TH STREET<br>Zip Code: 11432<br>Borough: Queens<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,28,Q314,88-08 164TH STREET,11432,Queens,Community School or DYCD with a pre-K or LYFE Center,"88-08 164TH STREET Queens, NY 11432",40.7084373,-73.7984476
Ezra Jack Keats Pre-K Center at 132-10 Jamaica Avenue,Geographic  District: 28<br>Building Code: Q383<br>Address: 132-10 Jamaica Avenue<br>Zip Code: 11418<br>Borough: Queens<br>Type: Standalone Pre-K Site,,,,,,,-1,,,28,Q383,132-10 Jamaica Avenue,11418,Queens,Standalone Pre-K Site,"132-10 Jamaica Avenue Queens, NY 11418",40.701953,-73.819929
P.S. /I.S 295 - QUEENS,Geographic  District: 29<br>Building Code: Q263<br>Address: 222-14 JAMAICA AVENUE<br>Zip Code: 11428<br>Borough: Queens<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,29,Q263,222-14 JAMAICA AVENUE,11428,Queens,Community School or DYCD with a pre-K or LYFE Center,"222-14 JAMAICA AVENUE Queens, NY 11428",40.7208519,-73.7313284
P.S. 270 - QUEENS,Geographic  District: 29<br>Building Code: Q270<br>Address: 233-15 MERRICK BOULEVARD<br>Zip Code: 11422<br>Borough: Queens<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,29,Q270,233-15 MERRICK BOULEVARD,11422,Queens,Community School or DYCD with a pre-K or LYFE Center,"233-15 MERRICK BOULEVARD Queens, NY 11422",40.6749904,-73.7363585
District 29 Pre-K Center at 168-42 Jamaica Avenue,Geographic  District: 29<br>Building Code: Q381<br>Address: 168-42 Jamaica Avenue<br>Zip Code: 11432<br>Borough: Queens<br>Type: Standalone Pre-K Site,,,,,,,-1,,,29,Q381,168-42 Jamaica Avenue,11432,Queens,Standalone Pre-K Site,"168-42 Jamaica Avenue Queens, NY 11432",40.7065976,-73.7905285
LONG ISLAND CITY HS(NEW)-Q,Geographic  District: 30<br>Building Code: Q452<br>Address: 14-30 BROADWAY<br>Zip Code: 11106<br>Borough: Queens<br>Type: Community School & SBHC,,,,,,,-1,,,30,Q452,14-30 BROADWAY,11106,Queens,Community School & SBHC,"14-30 BROADWAY Queens, NY 11106",40.7654697,-73.9330529
P.S. 11 - QUEENS,Geographic  District: 30<br>Building Code: Q011<br>Address: 54-25 SKILLMAN AVENUE<br>Zip Code: 11377<br>Borough: Queens<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,30,Q011,54-25 SKILLMAN AVENUE,11377,Queens,Community School or DYCD with a pre-K or LYFE Center,"54-25 SKILLMAN AVENUE Queens, NY 11377",40.7456964,-73.9093442
District 30 Pre-K Center at 3252 37th Street,Geographic  District: 30<br>Building Code: Q397<br>Address: 3252 37th Street<br>Zip Code: 11103<br>Borough: Queens<br>Type: Standalone Pre-K Site,,,,,,,-1,,,30,Q397,3252 37th Street,11103,Queens,Standalone Pre-K Site,"3252 37th Street Queens, NY 11103",40.7588544,-73.921791
P.S./I.S. 48 - Staten Island,Geographic  District: 31<br>Building Code: R071<br>Address: 1050 Targee Street<br>Zip Code: 10304<br>Borough: Staten Island<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,31,R071,1050 Targee Street,10304,Staten Island,Community School or DYCD with a pre-K or LYFE Center,"1050 Targee Street Staten Island, NY 10304",40.6030173,-74.0919709
ELIZABETH A. CONNELLY CAMPUS - S.I.,Geographic  District: 31<br>Building Code: R861<br>Address: 280 REGIS DRIVE<br>Zip Code: 10314<br>Borough: Staten Island<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,31,R861,280 REGIS DRIVE,10314,Staten Island,Community School or DYCD with a pre-K or LYFE Center,"280 REGIS DRIVE Staten Island, NY 10314",40.6204522,-74.1644159
P.S. 56 - STATEN ISLAND,Geographic  District: 31<br>Building Code: R056<br>Address: 250 KRAMER AVENUE<br>Zip Code: 10309<br>Borough: Staten Island<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,31,R056,250 KRAMER AVENUE,10309,Staten Island,Community School or DYCD with a pre-K or LYFE Center,"250 KRAMER AVENUE Staten Island, NY 10309",40.5419698,-74.2139431
The Richmond Pre-K Center at 841 Father Capodanno Boulevard,Geographic  District: 31<br>Building Code: R113<br>Address: 841 Father Capodanno Boulevard<br>Zip Code: 10305<br>Borough: Staten Island<br>Type: Standalone Pre-K Site,,,,,,,-1,,,31,R113,841 Father Capodanno Boulevard,10305,Staten Island,Standalone Pre-K Site,"841 Father Capodanno Boulevard Staten Island, NY 10305",40.5756318,-74.0838957
P.S. 145 - BROOKLYN,Geographic  District: 32<br>Building Code: K145<br>Address: 100 NOLL STREET<br>Zip Code: 11206<br>Borough: Brooklyn<br>Type: Filling Geographic Gaps,,,,,,,-1,,,32,K145,100 NOLL STREET,11206,Brooklyn,Filling Geographic Gaps,"100 NOLL STREET Brooklyn, NY 11206",40.701515,-73.9322622
