Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Geographic__District,Building_Code,Address,Zip_Code,Borough,Type,Full Address,Lat,Lon
Adlai E. Stevenson Educational Campus,Geographic  District: 8<br>Building Code: X450<br>Address: 1980 LAFAYETTE AVENUE<br>Zip Code: 10473<br>Borough: Bronx<br>Type: Community School & DYCD,,,,,,,-1,,,8,X450,1980 LAFAYETTE AVENUE,10473,Bronx,Community School & DYCD,"1980 LAFAYETTE AVENUE Bronx, NY 10473",40.8215141,-73.8554141
I.S. 201 - BRONX,Geographic  District: 8<br>Building Code: X074<br>Address: 730 BRYANT AVENUE<br>Zip Code: 10474<br>Borough: Bronx<br>Type: Community School & DYCD,,,,,,,-1,,,8,X074,730 BRYANT AVENUE,10474,Bronx,Community School & DYCD,"730 BRYANT AVENUE Bronx, NY 10474",40.8157147,-73.8853003
WILLIAM H. TAFT HS - X,Geographic  District: 9<br>Building Code: X410<br>Address: 240 EAST 172 STREET<br>Zip Code: 10457<br>Borough: Bronx<br>Type: Community School & DYCD,,,,,,,-1,,,9,X410,240 EAST 172 STREET,10457,Bronx,Community School & DYCD,"240 EAST 172 STREET Bronx, NY 10457",40.8398672,-73.9111588
DOE NEW SETTLEMENT COMMUNITY CAMPUS - X,Geographic  District: 9<br>Building Code: X240<br>Address: 1501 JEROME AVENUE<br>Zip Code: 10452<br>Borough: Bronx<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,9,X240,1501 JEROME AVENUE,10452,Bronx,Community School or DYCD with a pre-K or LYFE Center,"1501 JEROME AVENUE Bronx, NY 10452",40.8429988,-73.9162336
Garden of Learning and Discovery Pre-K Center at 1434 Ogden Avenue,Geographic  District: 9<br>Building Code: X582<br>Address: 1434 Ogden Avenue<br>Zip Code: 10452<br>Borough: Bronx<br>Type: Standalone Pre-K Site,,,,,,,-1,,,9,X582,1434 Ogden Avenue,10452,Bronx,Standalone Pre-K Site,"1434 Ogden Avenue Bronx, NY 10452",40.8437124,-73.9233984
P.S. 306 - BRONX,Geographic  District: 10<br>Building Code: X306<br>Address: 40 WEST TREMONT AVENUE<br>Zip Code: 10453<br>Borough: Bronx<br>Type: Community School & SBHC,,,,,,,-1,,,10,X306,40 WEST TREMONT AVENUE,10453,Bronx,Community School & SBHC,"40 WEST TREMONT AVENUE Bronx, NY 10453",40.8513941,-73.9108139
DEWITT CLINTON HS - X,Geographic  District: 10<br>Building Code: X440<br>Address: 100 WEST MOSHOLU PARKWAY SOUTH<br>Zip Code: 10468<br>Borough: Bronx<br>Type: Community School & SBHC,,,,,,,-1,,,10,X440,100 WEST MOSHOLU PARKWAY SOUTH,10468,Bronx,Community School & SBHC,"100 WEST MOSHOLU PARKWAY SOUTH Bronx, NY 10468",40.8812165,-73.8875851
THEODORE ROOSEVELT EDUCATIONAL CAMPUS - X,Geographic  District: 10<br>Building Code: X435<br>Address: 500 EAST FORDHAM ROAD<br>Zip Code: 10458<br>Borough: Bronx<br>Type: Community School & DYCD,,,,,,,-1,,,10,X435,500 EAST FORDHAM ROAD,10458,Bronx,Community School & DYCD,"500 EAST FORDHAM ROAD Bronx, NY 10458",40.8594021,-73.8886743
Rose Hill Pre-K Center at 2490-2500 Webster Avenue,Geographic  District: 10<br>Building Code: X432<br>Address: 2490-2500 Webster Avenue<br>Zip Code: 10458<br>Borough: Bronx<br>Type: Standalone Pre-K Site,,,,,,,-1,,,10,X432,2490-2500 Webster Avenue,10458,Bronx,Standalone Pre-K Site,"2490-2500 Webster Avenue Bronx, NY 10458",40.8607224,-73.8921904
M.S./H.S. 368 - BRONX             ,Geographic  District: 10<br>Building Code: X368<br>Address: 2975 TIBBETT AVENUE<br>Zip Code: 10463<br>Borough: Bronx<br>Type: DYCD Program,,,,,,,-1,,,10,X368,2975 TIBBETT AVENUE,10463,Bronx,DYCD Program,"2975 TIBBETT AVENUE Bronx, NY 10463",40.8790763,-73.9112953
